Symbol,Name,Exchange,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
FRD,Friedman Industries Inc.,AMEX,5.15,$35.02M,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/frd
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",AMEX,6.17,$737.79M,2005,n/a,n/a,http://www.nasdaq.com/symbol/ggn
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",AMEX,24.44,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggn^b
EGAS,Gas Natural Inc.,AMEX,12.49,$131.34M,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/egas
GST,Gastar Exploration Inc.,AMEX,1.03,$135.68M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst
GST^A,Gastar Exploration Inc.,AMEX,13.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^a
GST^B,Gastar Exploration Inc.,AMEX,14.15,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^b
JOB,GEE Group Inc.,AMEX,4.54,$42.58M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/job
GMO,"General Moly, Inc",AMEX,0.223,$20.28M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gmo
GIG,"GigPeak, Inc.",AMEX,2.36,$159.21M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/gig
GSB,"GlobalSCAPE, Inc.",AMEX,3.5,$74.15M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gsb
GSAT,"Globalstar, Inc.",AMEX,0.8276,$894.04M,2006,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/gsat
GLOW,"Glowpoint, Inc.",AMEX,0.3625,$13M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/glow
GORO,Gold Resource Corporation,AMEX,5.49,$297.92M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/goro
